period,breakout_lookback,initial_stop_atr,trail_atr,fee_rate,slippage_rate,initial_equity,final_equity,return_pct,trades,win_rate_pct,profit_factor,avg_r,max_drawdown_pct,max_consecutive_losses,total_fees_est
DEV_2X_COST,20,2.5,3.5,0.002,0.0004,2000.0,2262.7581199423125,13.137905997115617,88,38.63636363636363,1.7334533474257563,0.2864790984511881,3.284463365446313,7,95.09554183150327
DEV_2X_COST,25,1.5,2.5,0.002,0.0004,2000.0,2461.039356312124,23.05196781560619,83,42.168674698795186,1.9227126563550025,0.5150060699254047,4.631753565983422,7,158.88138579599524
DEV_2X_COST,25,1.5,3.0,0.002,0.0004,2000.0,2448.6841990772105,22.434209953860517,83,37.34939759036144,1.838540079975333,0.503046891263784,4.990968955979391,7,157.82838890432524
DEV_2X_COST,25,1.5,3.5,0.002,0.0004,2000.0,2531.1783683450126,26.55891841725062,82,39.02439024390244,1.9645140464182105,0.5930206508718044,4.990968955979355,7,161.89394963036264
DEV_2X_COST,25,2.0,2.5,0.002,0.0004,2000.0,2368.2439879396975,18.412199396984885,79,45.56962025316456,1.9745277863041562,0.4376672410766675,3.2803702204436203,6,112.32116034760972
DEV_2X_COST,25,2.0,3.0,0.002,0.0004,2000.0,2358.111703817318,17.905585190865892,79,40.50632911392405,1.8714853052546285,0.4270670978674006,3.6961080516609983,6,111.73544966376141
DEV_2X_COST,25,2.0,3.5,0.002,0.0004,2000.0,2353.802133116329,17.69010665581645,78,42.30769230769231,1.856129621888332,0.42777150295369865,3.8937497484766372,6,111.06731284583451
DEV_2X_COST,25,2.5,2.5,0.002,0.0004,2000.0,2272.2756348029193,13.613781740145958,79,45.56962025316456,1.8673481285086777,0.3295354437457875,2.8629797184893016,6,88.08476193391016
DEV_2X_COST,25,2.5,3.0,0.002,0.0004,2000.0,2259.7637351359813,12.98818675679907,79,40.50632911392405,1.7553649852410613,0.3157485675611186,3.261663917168906,6,87.57430607392902
DEV_2X_COST,25,2.5,3.5,0.002,0.0004,2000.0,2263.358649557318,13.167932477865897,78,42.30769230769231,1.774146028406917,0.3237926667575935,3.4049330109766496,6,87.25663086446706
DEV_2X_COST,30,1.5,2.5,0.002,0.0004,2000.0,2533.656076119525,26.682803805976253,78,44.871794871794876,2.2163645805878076,0.622363827432592,4.0610224245199396,6,149.9111238815394
DEV_2X_COST,30,1.5,3.0,0.002,0.0004,2000.0,2520.9363611261992,26.046818056309974,78,39.743589743589745,2.0964097641863915,0.6096380347542008,4.42238753853021,6,148.9115947149157
DEV_2X_COST,30,1.5,3.5,0.002,0.0004,2000.0,2605.864646679098,30.29323233395489,77,41.55844155844156,2.2393273647608845,0.7068385468496305,4.422387538530228,6,152.65880318128237
DEV_2X_COST,30,2.0,2.5,0.002,0.0004,2000.0,2407.4118997550377,20.37059498775189,75,48.0,2.215293452529023,0.504502318020674,2.7250592851898854,5,106.83347865208633
DEV_2X_COST,30,2.0,3.0,0.002,0.0004,2000.0,2397.113464232219,19.85567321161095,75,42.66666666666667,2.0764958245142418,0.49333840946305535,3.1431840544507863,5,106.27484300955972
DEV_2X_COST,30,2.0,3.5,0.002,0.0004,2000.0,2392.732615803507,19.636630790175346,74,44.5945945945946,2.057554313078947,0.49497644876477037,3.341960501221046,5,105.60451651665431
DEV_2X_COST,30,2.5,2.5,0.002,0.0004,2000.0,2303.2635206526443,15.163176032632219,75,48.0,2.085812411030031,0.38306488284556584,2.3806608053294465,5,83.63304751475206
DEV_2X_COST,30,2.5,3.0,0.002,0.0004,2000.0,2292.8567523173547,14.642837615867732,75,42.66666666666667,1.9513813178022172,0.37117642827328284,2.72034739076347,5,83.2048247996082
DEV_2X_COST,30,2.5,3.5,0.002,0.0004,2000.0,2296.899760046594,14.844988002329696,74,44.5945945945946,1.9774657811710386,0.38086716061582365,2.864418172209648,5,82.88031826677201
OOS_AUDIT_BASE_COST,15,1.5,2.5,0.001,0.0002,2000.0,2095.4794923709155,4.773974618545784,11,54.54545454545454,2.814931634051793,0.8631707381292163,1.6269874448527222,3,15.027235170046572
OOS_AUDIT_BASE_COST,15,1.5,3.0,0.001,0.0002,2000.0,2090.047491352966,4.502374567648304,11,54.54545454545454,2.7152727231912936,0.8150563607720788,1.6269874448527208,3,14.994900362098523
OOS_AUDIT_BASE_COST,15,1.5,3.5,0.001,0.0002,2000.0,2088.5610012356456,4.428050061782285,11,54.54545454545454,2.6877327678237273,0.802477267969099,1.6269874448527055,3,14.989252040617172
OOS_AUDIT_BASE_COST,15,2.0,2.5,0.001,0.0002,2000.0,2068.938929353891,3.446946467694567,11,54.54545454545454,2.6552628691734923,0.6248967240818999,1.220799755441532,3,11.187159456254037
OOS_AUDIT_BASE_COST,15,2.0,3.0,0.001,0.0002,2000.0,2064.51092282141,3.225546141070512,11,54.54545454545454,2.5372058369494086,0.5854385581514312,1.239219840365124,3,11.166837841617987
OOS_AUDIT_BASE_COST,15,2.0,3.5,0.001,0.0002,2000.0,2063.4170012267796,3.17085006133897,11,54.54545454545454,2.5116266110971197,0.5760042385491961,1.2392198403651211,3,11.163449790140046
OOS_AUDIT_BASE_COST,15,2.5,2.5,0.001,0.0002,2000.0,2059.5572014440277,2.977860072201377,11,54.54545454545454,3.0623219170913316,0.5390007433599362,0.9774201642774066,3,8.936177764472852
OOS_AUDIT_BASE_COST,15,2.5,3.0,0.001,0.0002,2000.0,2058.0075686786668,2.900378433933337,11,54.54545454545454,3.1293982132724643,0.5250207677404727,1.0718001955885148,3,8.932588556809641
OOS_AUDIT_BASE_COST,15,2.5,3.5,0.001,0.0002,2000.0,2056.728989631021,2.83644948155104,11,54.54545454545454,3.0526404970665304,0.5138707192680848,1.0915050098734649,3,8.92912505597587
OOS_AUDIT_BASE_COST,20,1.5,2.5,0.001,0.0002,2000.0,2095.4794923709155,4.773974618545784,11,54.54545454545454,2.814931634051793,0.8631707381292163,1.6269874448527222,3,15.027235170046572
OOS_AUDIT_BASE_COST,20,1.5,3.0,0.001,0.0002,2000.0,2090.047491352966,4.502374567648304,11,54.54545454545454,2.7152727231912936,0.8150563607720788,1.6269874448527208,3,14.994900362098523
OOS_AUDIT_BASE_COST,20,1.5,3.5,0.001,0.0002,2000.0,2088.5610012356456,4.428050061782285,11,54.54545454545454,2.6877327678237273,0.802477267969099,1.6269874448527055,3,14.989252040617172
OOS_AUDIT_BASE_COST,20,2.0,2.5,0.001,0.0002,2000.0,2068.938929353891,3.446946467694567,11,54.54545454545454,2.6552628691734923,0.6248967240818999,1.220799755441532,3,11.187159456254037
OOS_AUDIT_BASE_COST,20,2.0,3.0,0.001,0.0002,2000.0,2064.51092282141,3.225546141070512,11,54.54545454545454,2.5372058369494086,0.5854385581514312,1.239219840365124,3,11.166837841617987
OOS_AUDIT_BASE_COST,20,2.0,3.5,0.001,0.0002,2000.0,2063.4170012267796,3.17085006133897,11,54.54545454545454,2.5116266110971197,0.5760042385491961,1.2392198403651211,3,11.163449790140046
OOS_AUDIT_BASE_COST,20,2.5,2.5,0.001,0.0002,2000.0,2059.5572014440277,2.977860072201377,11,54.54545454545454,3.0623219170913316,0.5390007433599362,0.9774201642774066,3,8.936177764472852
